grade,total_loans,total_EAD,avg_PD,total_EL,actual_default_rate
A,1762,25620100,0.06983156950476567,801590.7290819929,0.053348467650397274
B,2729,34977125,0.1306250831873555,2109320.2711816235,0.14327592524734334
C,2448,35120425,0.2165926617831472,3605420.5593658965,0.22058823529411764
D,1139,17855550,0.33204946913530753,2820299.7988947416,0.35030728709394204
E,574,10676950,0.46032849266109743,2296017.8022553814,0.4442508710801394
F,189,3635375,0.6250050127020887,1041602.0456273602,0.48677248677248675
G,43,778675,0.7128506766637739,257930.78024009088,0.5348837209302325
